Rank,Name,Symbol,Price_in_USD,URL,Market Cap,Diluted Market Cap,Volume,Volume Per Market Cap,Circulating Supply
1,Bitcoin,BTC,$52643.73,https://coinmarketcap.com/currencies/bitcoin/,"$993,810,008,134","$1,104,788,308,520","$40,106,381,253",0.04036,"18,890,506.00 BTC"
2,Ethereum,ETH,$4102.66,https://coinmarketcap.com/currencies/ethereum/,"$487,968,644,199","$487,968,644,199","$26,594,824,141",0.0545,"118,596,666.87 ETH"
3,Binance Coin,BNB,$579.41,https://coinmarketcap.com/currencies/binance-coin/,"$96,992,084,603","$96,992,084,603","$2,578,233,099",0.02658,"166,801,148.00 BNB"
4,Tether,USDT,$1.00,https://coinmarketcap.com/currencies/tether/,"$74,214,350,654","$76,410,369,444","$93,321,704,728",1.26,74.16B USDT
5,Solana,SOL,$201.85,https://coinmarketcap.com/currencies/solana/,"$61,550,542,511","$102,786,786,195","$4,199,086,911",0.06822,"305,641,392.00 SOL"
6,Cardano,ADA,$1.51,https://coinmarketcap.com/currencies/cardano/,"$50,416,974,184","$68,103,954,085","$2,616,428,108",0.0519,33.31B ADA
7,XRP,XRP,$0.9025,https://coinmarketcap.com/currencies/xrp/,"$42,673,304,000","$90,319,040,074","$2,808,457,400",0.06581,47.25B XRP
8,USD Coin,USDC,$1.00,https://coinmarketcap.com/currencies/usd-coin/,"$39,096,685,171","$39,096,685,171","$6,108,361,770",0.1562,39.07B USDC
9,Polkadot,DOT,$32.38,https://coinmarketcap.com/currencies/polkadot-new/,"$32,057,908,821","$35,814,441,991","$1,364,203,685",0.04255,"987,579,314.96 DOT"
10,Dogecoin,DOGE,$0.1939,https://coinmarketcap.com/currencies/dogecoin/,"$25,728,990,208","$25,728,990,208","$1,342,703,224",0.05219,132.37B DOGE
11,Avalanche,AVAX,$101.02,https://coinmarketcap.com/currencies/avalanche/,"$24,440,577,637","$39,763,361,679","$1,364,770,965",0.05584,"242,668,822.54 AVAX"
12,Terra,LUNA,$59.70,https://coinmarketcap.com/currencies/terra-luna/,"$23,172,601,404","$51,736,200,084","$2,864,535,769",0.1236,"386,405,833.65 LUNA"
