currency,1d_market_cap_change_pct,1d_price_change_pct,1d_volume_change_pct,30d_market_cap_change_pct,30d_price_change_pct,30d_volume_change_pct,365d_market_cap_change_pct,365d_price_change_pct,365d_volume_change_pct,ytd_market_cap_change_pct,ytd_price_change_pct,ytd_volume_change_pct,max_supply,num_exchanges,num_pairs
BTC,-0.0549,-0.0550,0.2845,-0.1316,-0.1328,0.0597,1.8050,1.7562,1.0484,0.6500,0.6234,0.9872,21000000,406,80800
ETH,-0.0412,-0.0413,0.3639,-0.0455,-0.0487,0.0013,6.4867,6.1768,2.1255,3.6138,3.4375,2.0293,-,437,70824
BNB,-0.0471,-0.0471,-0.0242,0.0470,0.0470,9577152356.4691,21.6056,18.8826,7038515148.9884,15.2434,13.2868,6863137119.6125,168137036,171,12721
USDT,0.0026,0.0015,0.2790,0.0420,0.0026,-0.0399,2.8550,0.0025,1.9162,2.6118,0.0063,1.7935,-,375,58412
SOL,-0.1225,-0.1225,0.1893,-0.1699,-0.1823,-0.1103,720.8301,108.2626,225.8967,608.7739,91.9643,190.8889,508180964,90,1373
ADA,-0.1004,-0.1004,-0.3061,-0.2376,-0.2376,-0.1027,8.8278,8.5354,11.7240,6.5657,6.3406,9.5042,45000000000,131,607
XRP,-0.0665,-0.0665,0.3827,-0.2455,-0.2481,-0.1444,0.5161,0.4547,2.2151,3.1940,3.0323,1.4065,100000000000,268,2225
USDC,-0.0001,-0.0007,0.3108,0.1588,-0.0005,0.2219,12.1414,0.0017,8.2389,9.0137,0.0052,6.3617,39070188002,225,4930
DOT,-0.0867,-0.0871,0.5348,-0.3888,-0.3974,-0.3635,6.1767,5.3342,15.5735,2.6064,2.2206,10.5616,1142809202,127,420
DOGE,-0.0635,-0.0636,-0.0445,-0.2584,-0.2607,-0.2605,58.9002,56.6325,60.3335,19.6180,18.8977,50.9542,-,217,2975
AVAX,0.0277,-0.0516,0.2346,0.4088,0.2788,1.2229,276.8599,27.0635,152.4484,288.3589,28.2249,102.7933,394812505,67,481
LUNA,-0.1062,-0.1023,0.3979,0.1168,0.1556,-0.0305,96.8497,118.7878,103.6574,71.8927,90.5927,85.3657,862751277,57,108
SHIB,-0.0410,-0.0410,0.4031,-0.1996,-0.1996,-0.6116,-,3068.8169,4027926.2419,-,3068.8169,4027926.2419,999992050228318,106,261
CRO,-0.1190,-0.1190,0.2833,1.1084,1.1084,9.0844,9.8845,8.4767,3.1876,10.4183,9.1495,2.7948,30263013692,67,205
MATIC,-0.0214,-0.0214,0.5064,0.1080,0.0737,-0.1751,154.5135,104.3730,47.8246,149.6524,102.2435,56.9055,-,148,1336
BUSD,0.0083,-0.0001,0.2906,-0.0332,0.0002,688670.1987,19.3180,0.0012,2326750.0277,13.0430,0.0063,1605974.9334,13733408689,92,4938
WBTC,-0.0686,-0.0698,-0.0353,-0.0614,-0.1465,-0.2331,4.7403,1.7075,19.6478,2.5936,0.5968,9.0835,254191,86,1151
LTC,-0.0963,-0.0964,-0.0454,-0.1031,-0.1059,0.5119,1.2733,1.1713,0.9708,0.1800,0.1305,0.7207,84000000,338,3499
UNI,-0.1256,-0.1256,-0.3486,-0.4585,-0.2520,-0.1799,8.7543,4.2823,8.7650,4.9376,2.5079,6.5946,1000000000,171,1010
ALGO,-0.1059,-0.1060,-0.0601,-0.0868,-0.0952,0.3346,40.9830,4.0010,5.0528,32.3555,2.9733,4.6657,10000000000,88,209
LINK,-0.0833,-0.0833,0.6228,-0.2672,-0.2743,-0.1817,0.9751,0.6685,2.2635,0.9370,0.6529,1.7681,1000000000,239,3078
BCH,-0.0653,-0.0654,0.0856,-0.1275,-0.1287,-0.0256,0.8473,0.8152,0.6630,0.2519,0.2318,0.5610,21000000,271,2241
TRX,-0.0722,-0.0722,0.0798,-0.1181,-0.1181,0.1686,1.9523,1.9523,1.1900,2.1118,2.1118,1.2105,100850743812,203,2033
UST,0.0140,-0.0002,0.2857,1.7874,-0.0004,0.3951,77.1252,0.0033,442.4136,42.7586,0.0088,67.6266,7882518750,27,133
XLM,-0.1040,-0.1139,0.5694,-0.1388,-0.1543,-0.2022,1.0155,0.7763,2.4261,1.5770,1.2913,2.1654,50001802505,169,516
AXS,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
MANA,-0.1140,-0.1140,0.1521,0.4869,0.4869,0.3758,40.7344,40.7344,22.9595,45.3941,45.3941,23.3872,2193969327,140,352
ICP,-0.0890,-0.0890,0.6482,-0.1666,-0.2043,-0.0652,-,-0.1859,-,-,-0.1859,-,475079376,49,84
VET,-0.0735,-0.0735,0.4656,-0.3113,-0.3113,0.2295,5.3187,5.1379,5.5919,3.1428,3.0243,5.3428,86712634466,65,196
ATOM,0.0580,0.0578,3.5442,-0.2032,-0.2078,-0.3460,5.7898,4.7146,3.8773,5.0855,4.1218,3.7098,-,105,338
EGLD,-0.0463,-0.0465,-0.3055,0.0428,0.0348,1.5914,32.5317,23.0490,55.1294,15.9285,11.1411,17.4224,22824497,34,64
DAI,-0.0025,-0.0005,0.6992,0.1319,-0.0021,0.0530,7.2271,-0.0055,8.2041,6.6529,0.0021,6.1788,8886883399,173,2242
FTT,-,-,-,-,-,-,-,-1.0000,-1.0000,-,-1.0000,-1.0000,1000000000,6,12
FIL,-0.1172,-0.1229,1.0055,-0.1833,-0.2559,-0.3513,3.6807,0.5876,24.6947,5.4386,1.1838,19.2717,2000000000,91,281
