Name,Symbol,Price_in_USD,URL
Bitcoin,BTC,$52643.73,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,$4102.66,https://coinmarketcap.com/currencies/ethereum/
Binance Coin,BNB,$579.41,https://coinmarketcap.com/currencies/binance-coin/
Tether,USDT,$1.00,https://coinmarketcap.com/currencies/tether/
Solana,SOL,$201.85,https://coinmarketcap.com/currencies/solana/
Cardano,ADA,$1.51,https://coinmarketcap.com/currencies/cardano/
XRP,XRP,$0.9025,https://coinmarketcap.com/currencies/xrp/
USD Coin,USDC,$1.00,https://coinmarketcap.com/currencies/usd-coin/
Polkadot,DOT,$32.38,https://coinmarketcap.com/currencies/polkadot-new/
Dogecoin,DOGE,$0.1939,https://coinmarketcap.com/currencies/dogecoin/
Avalanche,AVAX,$101.02,https://coinmarketcap.com/currencies/avalanche/
Terra,LUNA,$59.70,https://coinmarketcap.com/currencies/terra-luna/
SHIBA INU,SHIB,$0.00,https://coinmarketcap.com/currencies/shiba-inu/
Crypto.com Coin,CRO,$0.61,https://coinmarketcap.com/currencies/crypto-com-coin/
Polygon,MATIC,$2.05,https://coinmarketcap.com/currencies/polygon/
Binance USD,BUSD,$1.00,https://coinmarketcap.com/currencies/binance-usd/
Wrapped Bitcoin,WBTC,$51690.50,https://coinmarketcap.com/currencies/wrapped-bitcoin/
Litecoin,LTC,$181.23,https://coinmarketcap.com/currencies/litecoin/
Uniswap,UNI,$19.23,https://coinmarketcap.com/currencies/uniswap/
Algorand,ALGO,$1.68,https://coinmarketcap.com/currencies/algorand/
Chainlink,LINK,$22.48,https://coinmarketcap.com/currencies/chainlink/
Bitcoin Cash,BCH,$518.25,https://coinmarketcap.com/currencies/bitcoin-cash/
TRON,TRX,$0.09,https://coinmarketcap.com/currencies/tron/
TerraUSD,UST,$1.00,https://coinmarketcap.com/currencies/terrausd/
Stellar,XLM,$0.31,https://coinmarketcap.com/currencies/stellar/
Axie Infinity,AXS,$124.82,https://coinmarketcap.com/currencies/axie-infinity/
Decentraland,MANA,$3.74,https://coinmarketcap.com/currencies/decentraland/
Internet Computer,ICP,$36.61,https://coinmarketcap.com/currencies/internet-computer/
VeChain,VET,$0.10,https://coinmarketcap.com/currencies/vechain/
Cosmos,ATOM,$29.73,https://coinmarketcap.com/currencies/cosmos/
Elrond,EGLD,$328.05,https://coinmarketcap.com/currencies/elrond-egld/
Dai,DAI,$1.00,https://coinmarketcap.com/currencies/multi-collateral-dai/
FTX Token,FTT,$45.67,https://coinmarketcap.com/currencies/ftx-token/
Filecoin,FIL,$46.58,https://coinmarketcap.com/currencies/filecoin/
THETA,THETA,$5.90,https://coinmarketcap.com/currencies/theta/
Ethereum Classic,ETC,$43.50,https://coinmarketcap.com/currencies/ethereum-classic/
Bitcoin BEP2,BTCB,$52628.10,https://coinmarketcap.com/currencies/bitcoin-bep2/
Hedera,HBAR,$0.30,https://coinmarketcap.com/currencies/hedera/
The Sandbox,SAND,$5.84,https://coinmarketcap.com/currencies/the-sandbox/
NEAR Protocol,NEAR,$8.77,https://coinmarketcap.com/currencies/near-protocol/
Fantom,FTM,$1.87,https://coinmarketcap.com/currencies/fantom/
Monero,XMR,$221.28,https://coinmarketcap.com/currencies/monero/
Tezos,XTZ,$4.50,https://coinmarketcap.com/currencies/tezos/
The Graph,GRT,$0.80,https://coinmarketcap.com/currencies/the-graph/
Gala,GALA,$0.52,https://coinmarketcap.com/currencies/gala/
IOTA,MIOTA,$1.32,https://coinmarketcap.com/currencies/iota/
Klaytn,KLAY,$1.42,https://coinmarketcap.com/currencies/klaytn/
EOS,EOS,$3.68,https://coinmarketcap.com/currencies/eos/
Flow,FLOW,$11.03,https://coinmarketcap.com/currencies/flow/
Helium,HNT,$33.18,https://coinmarketcap.com/currencies/helium/
UNUS SED LEO,LEO,$3.29,https://coinmarketcap.com/currencies/unus-sed-leo/
Stacks,STX,$2.40,https://coinmarketcap.com/currencies/stacks/
PancakeSwap,CAKE,$12.18,https://coinmarketcap.com/currencies/pancakeswap/
Loopring,LRC,$2.24,https://coinmarketcap.com/currencies/loopring/
Aave,AAVE,$216.84,https://coinmarketcap.com/currencies/aave/
BitTorrent,BTT,$0.00,https://coinmarketcap.com/currencies/bittorrent/
Kusama,KSM,$331.30,https://coinmarketcap.com/currencies/kusama/
Zcash,ZEC,$202.49,https://coinmarketcap.com/currencies/zcash/
Maker,MKR,$2674.08,https://coinmarketcap.com/currencies/maker/
Bitcoin SV,BSV,$137.92,https://coinmarketcap.com/currencies/bitcoin-sv/
Harmony,ONE,$0.22,https://coinmarketcap.com/currencies/harmony/
Enjin Coin,ENJ,$2.95,https://coinmarketcap.com/currencies/enjin-coin/
eCash,XEC,$0.00,https://coinmarketcap.com/currencies/ecash/
THORChain,RUNE,$9.38,https://coinmarketcap.com/currencies/thorchain/
Neo,NEO,$32.66,https://coinmarketcap.com/currencies/neo/
Amp,AMP,$0.05,https://coinmarketcap.com/currencies/amp/
Waves,WAVES,$21.08,https://coinmarketcap.com/currencies/waves/
Quant,QNT,$185.49,https://coinmarketcap.com/currencies/quant/
Chiliz,CHZ,$0.37,https://coinmarketcap.com/currencies/chiliz/
Kadena,KDA,$13.87,https://coinmarketcap.com/currencies/kadena/
KuCoin Token,KCS,$23.19,https://coinmarketcap.com/currencies/kucoin-token/
Holo,HOT,$0.01,https://coinmarketcap.com/currencies/holo/
Curve DAO Token,CRV,$4.17,https://coinmarketcap.com/currencies/curve-dao-token/
Basic Attention Token,BAT,$1.19,https://coinmarketcap.com/currencies/basic-attention-token/
Arweave,AR,$52.44,https://coinmarketcap.com/currencies/arweave/
Dash,DASH,$162.02,https://coinmarketcap.com/currencies/dash/
Celo,CELO,$4.60,https://coinmarketcap.com/currencies/celo/
Theta Fuel,TFUEL,$0.30,https://coinmarketcap.com/currencies/theta-fuel/
Compound,COMP,$246.57,https://coinmarketcap.com/currencies/compound/
OKB,OKB,$25.04,https://coinmarketcap.com/currencies/okb/
Huobi Token,HT,$8.93,https://coinmarketcap.com/currencies/huobi-token/
Nexo,NEXO,$2.50,https://coinmarketcap.com/currencies/nexo/
Decred,DCR,$102.47,https://coinmarketcap.com/currencies/decred/
NEM,XEM,$0.15,https://coinmarketcap.com/currencies/nem/
IoTeX,IOTX,$0.14,https://coinmarketcap.com/currencies/iotex/
Qtum,QTUM,$12.78,https://coinmarketcap.com/currencies/qtum/
Mina,MINA,$3.99,https://coinmarketcap.com/currencies/mina/
TrueUSD,TUSD,$1.00,https://coinmarketcap.com/currencies/trueusd/
1inch Network,1INCH,$3.01,https://coinmarketcap.com/currencies/1inch/
Voyager Token,VGX,$4.14,https://coinmarketcap.com/currencies/voyager-token/
Immutable X,IMX,$5.87,https://coinmarketcap.com/currencies/immutable-x/
Horizen,ZEN,$89.13,https://coinmarketcap.com/currencies/horizen/
Audius,AUDIO,$2.06,https://coinmarketcap.com/currencies/audius/
Ravencoin,RVN,$0.10,https://coinmarketcap.com/currencies/ravencoin/
XDC Network,XDC,$0.08,https://coinmarketcap.com/currencies/xinfin/
Oasis Network,ROSE,$0.29,https://coinmarketcap.com/currencies/oasis-network/
OMG Network,OMG,$7.30,https://coinmarketcap.com/currencies/omg/
Ankr,ANKR,$0.12,https://coinmarketcap.com/currencies/ankr/
ICON,ICX,$1.47,https://coinmarketcap.com/currencies/icon/
WAX,WAXP,$0.53,https://coinmarketcap.com/currencies/wax/
